Tr-bike,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
0.1,1.3974603256372764,0.0217839330899461,20,4.493779699209868,0.03230395733690255,20,90028.2,4668.276900640389,20,81400.1,4288.943851100727,20,303656.8,9051.794481002968,20,1.387913096016817,1.407007555257736,4.479621865678545,4.507937532741191,87982.2374404257,92074.1625595743,79520.38747946278,83279.81252053723,299689.6761555355,307623.9238444645
0.3,1.3975281064794058,0.016380410444736156,20,4.494198192502186,0.03076072958552314,20,19547.1,1676.1000441187086,20,15621.4,1254.049121844914,20,43018.3,2776.284777975965,20,1.3903490750736653,1.4047071378851463,4.480716708353604,4.507679676650767,18812.51676739499,20281.683232605006,15071.788739620448,16171.011260379551,41801.539548263376,44235.06045173663
0.5,1.3968981439194887,0.021253750991470206,20,4.50053398266996,0.05265025507130175,20,15508.2,1323.5621632549037,20,9424.7,1266.1225142349501,20,21304,2040.7576508428638,20,1.3875832768487077,1.4062130109902697,4.477458990993022,4.523608974346899,14928.123305981011,16088.27669401899,8869.797342104232,9979.60265789577,20409.598524754067,22198.401475245933
1,1.4032609395782503,0.015521901195836605,20,4.504211129590594,0.034689782709531075,20,26687.7,1210.7677033927473,20,15878,1222.250900248347,20,34694.4,2546.5122153953816,20,1.3964581664403208,1.4100637127161797,4.489007661987005,4.519414597194183,26157.057657609494,27218.342342390508,15342.324924690938,16413.67507530906,33578.3418138451,35810.4581861549
1.5,1.3969541440649096,0.022423429394039136,20,4.504367380959616,0.031024694049001735,20,29540.3,2235.014967570275,20,19022.5,1486.8481499644245,20,41095.2,2441.9679208203756,20,1.3871266428318167,1.4067816452980024,4.490770209284174,4.517964552635058,28560.761501949542,30519.838498050456,18370.86006703411,19674.13993296589,40024.96037111367,42165.43962888632
