D,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
0.2,1.393313113192091,0.02087356205594726,20,4.507217906655374,0.05112766595092819,20,18910.6,1840.285458406128,20,15831.8,875.0133592965129,20,43360.3,3312.14030182107,20,1.384164871268918,1.402461355115264,4.484810219082327,4.5296255942284205,18104.059336931907,19717.14066306809,15448.308486888938,16215.29151311106,41908.690510285844,44811.90948971416
0.5,1.4049861551352287,0.025046909075503946,20,4.496762103461711,0.04177777284056466,20,9399.4,1063.5715599610094,20,14468.8,1235.6254584963076,20,40009.7,2849.8726305795344,20,1.3940088632366885,1.415963447033769,4.478452187217782,4.51507201970564,8933.269211826371,9865.530788173628,13927.263266094289,15010.33673390571,38760.68824987837,41258.71175012163
0.8,1.4018633351914331,0.03101741749809071,20,4.505258344474149,0.05354166896195968,20,8027.3,953.275632531823,20,13699.3,1530.4099588362797,20,39917.8,2611.310854522565,20,1.3882693526050376,1.4154573177778287,4.481792673434313,4.528724015513985,7609.508533335488,8445.091466664513,13028.568262525487,14370.031737474512,38773.34255810528,41062.257441894726
1.2,1.399493290157141,0.014466931685623899,20,4.518068187971162,0.044137797172885004,20,8631.9,1204.650021244432,20,13723.7,1224.6161632807323,20,39114.6,3089.7154425269446,20,1.3931528777928606,1.4058337025214216,4.49872394545945,4.537412430482873,8103.938850026573,9159.861149973427,13186.988302461623,14260.411697538379,37760.47250291827,40468.72749708173
2,1.3988734432088483,0.02529132421417535,20,4.482323158220572,0.04034348377906467,20,8740,1061.0999258465617,20,14114.2,1248.0102732370688,20,39707.8,3037.4126732086343,20,1.3877890316528074,1.4099578547648892,4.464641846873459,4.500004469567685,8274.952453237873,9205.047546762127,13567.23538171507,14661.16461828493,38376.595202249286,41039.00479775072
