A-bik,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
3,1.4058836634659002,0.02112229465429659,20,4.4993614879637125,0.05069593325841978,20,18869.7,1800.023657739268,20,16094.7,1499.7938489918154,20,44371.5,2592.331271472192,20,1.3966264096750938,1.4151409172567067,4.477143015585783,4.521579960341642,18080.80484907669,19658.595150923313,15437.386364277978,16752.013635722025,43235.360727130785,45507.639272869215
3.5,1.4004345742989561,0.02894354646388434,20,4.52722543815793,0.046975095626755684,20,19196.9,1703.4199006395154,20,15486.1,1953.692695223182,20,43277.4,3790.677434249229,20,1.387749505767935,1.4131196428299773,4.506637694772018,4.547813181543842,18450.343312357047,19943.456687642956,14629.856423961894,16342.343576038107,41616.06236494387,44938.73763505613
4,1.3999499656583867,0.018030741985742813,20,4.50360111223674,0.04648836550703339,20,19651.9,1866.8468744467446,20,14890.4,1183.9081756711762,20,42252.5,2539.5614105381933,20,1.39204764456447,1.4078522867523033,4.483226687731169,4.52397553674231,18833.7182830902,20470.081716909805,14371.529364655971,15409.270635344028,41139.48813838827,43365.51186161173
4.5,1.4029616860960932,0.017703229591153127,20,4.502620627058985,0.03997592418584208,20,19114.5,1806.155542057567,20,15857,1809.7852736836228,20,43656.7,3417.356459080769,20,1.3952029036378208,1.4107204685543655,4.485100405806172,4.520140848311797,18322.917432284175,19906.082567715825,15063.82663225961,16650.17336774039,42158.977496212894,45154.4225037871
5,1.4027723456721084,0.023693841721646965,20,4.511427876110841,0.04381043075297136,20,18949.1,1791.119082702502,20,14954.2,1151.069598700544,20,42836.5,3876.2251781312893,20,1.3923880616875146,1.4131566296567022,4.492227108258551,4.530628643963131,18164.107451154905,19734.092548845092,14449.721505572548,15458.678494427453,41137.66941309803,44535.33058690197
