v0-bike,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
2,1.3976045452107764,0.017375908205410646,20,4.470140811496679,0.03713735275061121,20,13990.4,1525.2827313407556,20,9409.3,1099.2685175534732,20,21433.9,2431.2703610296107,20,1.3899892176748299,1.4052198727467229,4.453864649026747,4.4864169739666115,13321.915369051841,14658.884630948158,8927.524330368102,9891.075669631897,20368.34878340724,22499.451216592763
3,1.4010248981812772,0.0196058266347079,20,4.511872541925152,0.04727331530818406,20,17593.2,1680.5340504544506,20,12676.1,1649.3380458455702,20,29477.8,1940.4256613868054,20,1.3924322658036616,1.4096175305588927,4.4911540980011795,4.532590985849125,16856.673478437435,18329.726521562567,11953.245730276078,13398.954269723923,28627.370957907406,30328.229042092593
4.5,1.4119451219728811,0.019216099348362783,20,4.515553178771546,0.03357047124941594,20,19707.4,2108.83785406485,20,15208.3,1117.7361095206309,20,42499.2,2930.700465938584,20,1.4035232951094367,1.4203669488363255,4.500840271044468,4.5302660864986235,18783.1610601381,20631.638939861903,14718.43055132832,15698.169448671679,41214.763889148315,43783.63611085168
5,1.3954191071636843,0.022082995584168204,20,4.4939230864996444,0.05202188242524338,20,20912.3,1838.9449234762164,20,17217.7,2115.7783462655807,20,49348,3964.1800904441366,20,1.3857408076261708,1.4050974067011979,4.471123491277257,4.516722681722032,20106.34685226889,21718.25314773111,16290.419255315903,18144.980744684097,47610.621473172265,51085.378526827735
6,1.4037147890625339,0.021179323198444233,20,4.496257198604067,0.04013419385364363,20,26402.4,1940.3587948190352,20,25569.5,2183.275557023148,20,76537,5448.111425555021,20,1.3944325414102585,1.4129970367148093,4.4786676126110025,4.513846784597132,25552.000263472837,27252.799736527166,24612.637298412974,26526.362701587026,74149.25989067927,78924.74010932073
