V0-ped,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
0.5,1.3881486440671533,0.018138492038542377,20,4.499538096435034,0.052045183108358484,20,31938.1,3245.3859376367745,20,23830.3,1718.0541349230866,20,59996.7,4702.05519567326,20,1.3801990994304796,1.396098188703827,4.476728289238019,4.52234790363205,30515.746900323564,33360.45309967643,23077.329576396325,24583.270423603673,57935.93344990963,62057.466550090365
1,1.3956533463751317,0.01599769991070369,20,4.519817675045243,0.04302006897143733,20,23648.8,1948.3165634924287,20,18173.3,1827.6691253011163,20,48927.7,3784.6660299020755,20,1.3886420452562724,1.402664647493991,4.5009632985163375,4.538672051574148,22794.91261757906,24502.68738242094,17372.288688708028,18974.31131129197,47268.99697906092,50586.40302093908
1.3,1.4029214959954734,0.023189696877052187,20,4.522215040503547,0.05734624065417132,20,19726.4,2129.1219440491377,20,15620.1,1795.6422659785053,20,43557.2,3020.282830952652,20,1.3927581632309116,1.4130848287600353,4.497081942401617,4.547348138605478,18793.271165741047,20659.528834258956,14833.12507868006,16407.07492131994,42233.50268662801,44880.897313371985
1.8,1.400153643386344,0.019240706606147205,20,4.483837201336967,0.04253428491223212,20,15898.6,1449.7635524094048,20,12943.3,1017.9968514065671,20,39426.3,2012.9889036742825,20,1.391721031916675,1.4085862548560129,4.465195729059101,4.502478673614833,15263.213108520154,16533.986891479846,12497.143208517335,13389.456791482664,38544.068714792586,40308.53128520742
2.5,1.4041310314812856,0.024996800660625155,20,4.510419482802044,0.0337858545172586,20,13440.3,1436.1994107255514,20,10379.1,1060.646173454257,20,32017.1,2753.808958324337,20,1.3931757005638403,1.4150863623987309,4.495612179195857,4.525226786408232,12810.857855721015,14069.742144278984,9914.251318991925,10843.948681008076,30810.190010539223,33224.00998946078
