Tr-ped,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
0.1,1.4045218230388719,0.02182449961505613,20,4.489063118489773,0.03284491425020669,20,16835.3,1257.3367467535663,20,14335,1662.7716240314573,20,54219.6,3858.0122834106382,20,1.3949568143548918,1.4140868317228519,4.474668200137965,4.5034580368415815,16284.247874475515,17386.352125524485,13606.258205051156,15063.741794948844,52528.75156614787,55910.44843385213
0.3,1.3963169730598033,0.0237551264734603,20,4.523205109812221,0.041103211373031974,20,13477,1874.005729362696,20,11304.5,1652.7914346086714,20,34421.7,2919.377314644881,20,1.3859058298484859,1.4067281162711207,4.505190833166386,4.541219386458055,12655.680776588504,14298.319223411496,10580.13221591878,12028.86778408122,33142.22647900671,35701.17352099328
0.5,1.4020958156786099,0.0227345820171906,20,4.516422403349003,0.03893343407146656,20,20074.7,1361.1079503961391,20,15918,1986.9691280413679,20,44257.8,4041.658643363351,20,1.3921319457958352,1.4120596855613845,4.4993590735334665,4.533485733164539,19478.16813924697,20671.231860753032,15047.17238425918,16788.82761574082,42486.46500019164,46029.13499980837
1,1.3965583377154576,0.01370402561244806,20,4.498975312008675,0.047453441839919015,20,32611.7,1917.7241198879467,20,26076.8,2309.86246115947,20,60796.8,4114.980304359082,20,1.3905522836798305,1.4025643917510846,4.478177924151478,4.519772699865872,31771.22034714456,33452.17965285544,25064.4581415618,27089.141858438197,58993.330365422546,62600.26963457746
1.5,1.392662423866657,0.023424785722315964,20,4.503290087474592,0.05079811201321761,20,37864.5,2813.2614431240513,20,28425.7,2021.505460372489,20,64081.5,3909.454444373483,20,1.3823960588728978,1.402928788860416,4.481026833282912,4.525553341666272,36631.53381024031,39097.46618975969,27539.736169249143,29311.66383075086,62368.106045058674,65794.89395494132
