A-ped,mean_speed_ped_mean,mean_speed_ped_sd,mean_speed_ped_n,mean_speed_bike_mean,mean_speed_bike_sd,mean_speed_bike_n,total_severe_mean,total_severe_sd,total_severe_n,total_moderate_mean,total_moderate_sd,total_moderate_n,total_mild_mean,total_mild_sd,total_mild_n,mean_speed_ped_mean_lower,mean_speed_ped_mean_upper,mean_speed_bike_mean_lower,mean_speed_bike_mean_upper,total_severe_mean_lower,total_severe_mean_upper,total_moderate_mean_lower,total_moderate_mean_upper,total_mild_mean_lower,total_mild_mean_upper
4.5,1.394789631368153,0.022303345259057722,20,4.503157417938426,0.03333381493785832,20,19351,1721.9210202561555,20,15767.7,1191.4946429634194,20,44348.6,2736.738289124098,20,1.3850147593276725,1.4045645034086334,4.488548229412938,4.517766606463914,18596.334839177,20105.665160823,15245.504448767364,16289.895551232637,43149.17156118284,45548.02843881716
4.875,1.4039791549011058,0.016802979454711976,20,4.512023039021297,0.04972969046623471,20,19759.4,1253.8268326670113,20,15405.1,1054.0407412479492,20,43222.7,2747.5976319993474,20,1.3966149244611932,1.4113433853410184,4.490228041218323,4.533818036824272,19209.88616214809,20308.913837851913,14943.146277297003,15867.053722702998,42018.51224432627,44426.88775567372
5.25,1.3979221912213766,0.01842279883951348,20,4.511148036074973,0.0547972824951321,20,18953.5,1695.5703123759056,20,15284.5,1692.8417559022805,20,42384.9,3113.2284461463373,20,1.389848043635349,1.4059963388074042,4.487132068141263,4.535164004008682,18210.383546095796,19696.616453904204,14542.579388695869,16026.420611304131,41020.46747472643,43749.332525273574
5.625,1.4001093084927543,0.019343351728449375,20,4.5084296893371665,0.04526894620589252,20,19684.9,1876.6516066205734,20,15917.8,1266.7351985154178,20,44441.1,3694.6809263275254,20,1.3916317108147642,1.4085869061707443,4.48858969890388,4.528269679770453,18862.421169752393,20507.37883024761,15362.628821379056,16472.971178620945,42821.83468953771,46060.365310462286
6,1.3980316757231668,0.02271433127808153,20,4.506229938706397,0.04328899255834072,20,19489.1,1713.852966118647,20,15748.9,1753.7670102712586,20,44444.7,3427.7577925242217,20,1.3880766811181238,1.4079866703282098,4.4872577012189625,4.525202176193832,18737.970819806535,20240.229180193463,14980.277718674031,16517.522281325968,42942.4189108402,45946.981089159795
